,Symbol,Description
2026,NRZ-A,New Residential Invt Corp [Nrz/Pa]
2027,NRZ-B,New Residential Invt Corp [Nrz/Pb]
2028,NRZ-C,New Residential Investment Corp Fxdfr Prf Perpet
2029,NS,Nustar Energy LP
2030,NS-A,Nustar Energy LP [Ns/Pa]
2031,NS-B,Nustar Energy LP [Ns/Pb]
2032,NS-C,Nustar Energy LP [Ns/Pc]
2033,NSA,National Storage Affiliates Tru
2034,NSA-A,National Storage Affiliates TR [Nsa/Pa]
2035,NSC,Norfolk Southern Corp
2036,NSC.W,Nesco Hlds Inc WT [Nsco/W]
2037,NSCO,Nesco Holdings Inc
2038,NSL,Nuveen Senior
2039,NSP,Insperity Inc
2040,NSS,Nustar Logistics LP
2041,NTB,Bank of Butterfield Ltd
2042,NTCO,Natura &Co Holding S.A. ADR
2043,NTEST.I,
2044,NTEST.J,
2045,NTEST.K,
2046,NTG,Tortoise MLP Fund
2047,NTP,Nam Tai Electronics
2048,NTR,Nutrien Ltd
2049,NTZ,Natuzzi S.P.A.
2050,NUE,Nucor Corp
2051,NUM,Nuveen Michigan Quality
2052,NUO,Nuveen Ohio Quality
2053,NUS,Nu Skin Enterprises
2054,NUV,Nuveen Muni Value Fund
2055,NUW,Nuveen Muni Value Fund
2056,NVG,Nuveen Insured Divadv Fund
2057,NVGS,Navigator Holdings
2058,NVO,Novo Nordisk A/S
2059,NVR,NVR Inc
2060,NVRO,Nevro Corp
2061,NVS,Novartis Ag
2062,NVST,Envista Holdings Corp
2063,NVT,Nvent Electric Plc
2064,NVTA,Invitae Corp
2065,NWE,Northwestern Corp
2066,NWHM,New Home Co. Llc
2067,NWN,Northwest Natural Gas Company
2068,NX,Quanex Building Products Corp
2069,NXC,Nuveen California Tax-Free Income
2070,NXJ,Nuveen New Jersey Divadv Fund
2071,NXN,Nuveen Insured New York Tax-Free
2072,NXP,Nuveen Tax Free Income Portfolio
2073,NXQ,Nuveen Tax Free Income Portfolio II
2074,NXR,Nuveen Tax Free Income Portfolio III
2075,NXRT,Nexpoint Residential Trust Inc
2076,NYC-A,New York Community Bancorp Inc [Nycb/Pa]
2077,NYC-U,New York Cmnty Cap TR V [Nycb/Pu]
2078,NYCB,New York Community Bancorp
2079,NYT,New York Times Company
2080,NYV,Nuveen New York Muni Value Fund 2
2081,NZF,Nuveen Divadv Fund 3
2082,O,Realty Income Corp
2083,OAC,Oaktree Acquisition Corp Cl A
2084,OAC.U,Oaktree Acquisition Corp
2085,OAC.W,Oaktree Acquisition Corp WT
2086,OAK-A,Oaktree Cap Group Llc [Oak/Pa]
2087,OAK-B,Oaktree Cap Group Llc [Oak/Pb]
2088,OBE,Obsidian Energy Ltd
2089,OC,Owens Corning Inc
2090,OCFT,Oneconnect Financial Technology Co. Ltd America
2091,OCN,Ocwen Financial Corp
2092,ODC,Oil-Dri Corp of America
2093,OEC,Orion Engineered Carbons S.A R
2094,OFC,Corporate Office Properties
2095,OFG,Oriental Financial Group
2096,OFG-A,Ofg Bancorp [Ofg/Pa]
2097,OFG-B,Ofg Bancorp [Ofg/Pb]
2098,OFG-D,Ofg Bancorp [Ofg/Pd]
2099,OGE,Oge Energy Corp
2100,OGS,One Gas Inc
2101,OHI,Omega Healthcare Investors
2102,OI,Owens-Illinois
2103,OIA,Invesco Muni Income Trust
2104,OIB.C,Oi S.A. [Oibr.C]
2105,OII,Oceaneering International
2106,OIS,Oil States International
2107,OKE,Oneok Inc
2108,OLN,Olin Corp
2109,OLP,One Liberty Properties
2110,OMC,Omnicom Group Inc
2111,OMF,Onemain Holdings Inc
2112,OMI,Owens & Minor
2113,OMN,Omnova Solutions Inc
2114,ONDK,On Deck Capital Inc
2115,ONE,Onesmart International Education Group Ltd A
2116,ONTO,Onto Innovation Inc.
2117,OOMA,Ooma Inc
2118,OPP,Rivernorth/Doubleline Strategic Opportunity Fund
2119,OPY,Oppenheimer Holdings
2120,OR,Osisko Gold Royalties Ltd
2121,ORA,Ormat Technologies
2122,ORAN,Orange ADR
2123,ORC,Orchid Island Capital Inc
2124,ORCC,Owl Rock Capital Corp
2125,ORCL,Oracle Corp
2126,ORI,Old Republic International Corp
2127,ORN,Orion Group Holdings Inc
2128,OSB,Norbord Inc
2129,OSG,Overseas Shipholding Group Inc
2130,OSK,Oshkosh Truck Corp
2131,OTI.P,Otis Worldwide Corp [Otis/I]
2132,OUT,Outfront Media Inc
2133,OVV,Ovintiv Inc.
2134,OXM,Oxford Industries
2135,OXY,Occidental Petroleum Corp
2136,PAA,Plains All American Pipeline LP
2137,PAC,Grupo Aeroportuario Del Pacifico
2138,PAC.W,Ranpak Hlds Corp  Wt[Pack/W]
2139,PACD,Pacific Drilling S.A.
2140,PACK,Ranpak Holdings Corp
2141,PAG,Penske Automotive Group
2142,PAGP,Plains Gp Holdings LP
2143,PAGS,Pagseguro Digital Ltd Cl A
2144,PAI,Pacific American Income Shares
2145,PAM,Pampa Energia S.A.
2146,PANW,Palo Alto Networks Inc
2147,PAR,Par Technology Corp
2148,PARR,Par Petroleum Corp
2149,PAYC,Paycom Software Inc
2150,PB,Prosperity Bancshares
2151,PBA,Pembina Pipeline Cor
2152,PBB,Prospect Capital Corp
2153,PBC,Prospect Capital Corp 6.875% Notes Due 20
2154,PBF,PBF Energy Inc
2155,PBFX,PBF Logistics LP
2156,PBH,Prestige Brand Holdings
2157,PBI,Pitney Bowes Inc
2158,PBI-B,Pitney Bowes Inc [Pbi/Pb]
2159,PBR,Petroleo Brasileiro S.A. Petrobras
2160,PBR.A,Petroleo Brasileiro Sa Petrobr ADR
2161,PBT,Permian Basin Royalty Trust
2162,PBY,Prospect Capital Corp 6.25% Notes Due 202
2163,PCF,Putnam High Income Bond Fund
2164,PCG,Pacific Gas & Electric Company
2165,PCI,Pimco Dynamic Credit Income Fun
2166,PCK,Pimco California Muni II
2167,PCM,Pimco Commercial Mortgage Securities
2168,PCN,Pimco Corporate
2169,PCQ,Pimco California Muni
2170,PD,Pagerduty Inc
2171,PDI,Pimco Dynamic Income Fund
2172,PDM,Piedmont Office Realty Trust
2173,PDS,Precision Drilling Corp
2174,PDT,John Hancock Premium Dividend Fund
2175,PE,Parsley Energy
2176,PEAK,Healthpeak Properties Inc.
2177,PEB,Pebblebrook Hotel Trust
2178,PEB-C,Pebblebrook Hotel TR [Peb/Pc]
2179,PEB-D,Pebblebrook Hotel TR [Peb/Pd]
2180,PEB-E,Pebblebrook Hotel TR [Peb/Pe]
2181,PEB-F,Pebblebrook Hotel TR [Peb/Pf]
2182,PEG,Public Service Enterprise Group Inc
2183,PEI,Pennsylvania Real Estate Investment
2184,PEI-B,Pennsylvania Rl Estate Invt TR [Pei/Pb]
2185,PEI-C,Pennsylvania Rl Estate Invt TR [Pei/Pc]
2186,PEI-D,Pennsylvania Rl Estate Invt TR [Pei/Pd]
2187,PEN,Penumbra Inc
2188,PEO,Adams Natural Resources Fund Inc
2189,PER,Sandridge Permian Trust
2190,PFD,Flaherty & Crumrine Preferred Inc
2191,PFE,Pfizer Inc
2192,PFGC,Performance Food Group Company
2193,PFH,Cabco TR Jcp 7.625
2194,PFL,Pimco Income Strategy Fund
2195,PFN,Pimco Income Strategy Fund II
2196,PFO,Flaherty & Crumrine Preferred Fund
2197,PFS,Provident Financial Services
2198,PFSI,Pennymac Financial Services IN
2199,PG,Procter & Gamble Company
2200,PGP,Pimco Global Stocksplus & Income
2201,PGR,Progressive Corp
2202,PGRE,Paramount Group Inc
2203,PGTI,Pgt Inc
2204,PGZ,Principal Real Estate Income F
2205,PH,Parker-Hannifin Corp
2206,PHD,Pioneer Floating Rate Trust
2207,PHG,Koninklijke Philips Electronics
2208,PHI,Philippine Long Distance Telephone
2209,PHK,Pimco High Income Fund
2210,PHM,Pultegroup
2211,PHR,Phreesia Inc
2212,PHT,Pioneer High Income Trust
2213,PHX,Panhandle Royalty Company
2214,PIC,Pivotal Investment Corp II Cl A
2215,PIC.U,Pivotal Invt Corp II
2216,PIC.W,Pivotal Invt Corp II WT [Pic/W]
2217,PII,Polaris Industries Inc
2218,PIM,Putnam Master Intermediate Income
2219,PINE,Alpine Income Property Trust Inc
2220,PING,Ping Identity Holding Corp
2221,PINS,Pinterest Inc
2222,PIPR,Piper Jaffray Companies
2223,PIY,Merrill Lynch Depositor
2224,PJH,Prudential Financial Inc
2225,PJT,Pjt Partners Inc Cl A
2226,PK,Park Hotels & Resorts Inc
2227,PKE,Park Electrochemical Corp
2228,PKG,Packaging Corp of America
2229,PKI,Perkinelmer
2230,PKO,Pimco Income Opportunity Fund
2231,PKX,Posco ADR
2232,PLAN,Anaplan Inc
2233,PLD,Prologis Inc
2234,PLNT,Planet Fitness
2235,PLOW,Douglas Dynamics
2236,PLT,Plantronics
2237,PLYM,Plymouth Industrial REIT Inc
2238,PM,Philip Morris International Inc
2239,PMF,Pimco Muni
2240,PML,Pimco Muni II
2241,PMM,Putnam Managed Muni Income Trust
2242,PMO,Putnam Muni Opportunities Trust
2243,PMT,Pennymac Mortgage Investment Trust
2244,PMT-A,Pennymac Mtg Invt TR [Pmt/Pa]
2245,PMT-B,Pennymac Mtg Invt TR [Pmt/Pb]
2246,PMX,Pimco Muni Income Fund III
2247,PNC,PNC Bank
2248,PNC-P,PNC Financial Services Group [Pnc/Pp]
2249,PNC-Q,PNC Financial Services Group [Pnc/Pq]
2250,PNF,Pimco New York Muni
2251,PNI,Pimco New York Muni II
2252,PNM,PNM Resources Inc
2253,PNR,Pentair Ltd
2254,PNW,Pinnacle West Capital Corp
2255,POL,Polyone Corp
2256,POR,Portland General Electric Company
2257,POST,Post Holdings Inc
2258,PPG,PPG Industries
2259,PPL,PPL Corp
2260,PPR,VOYA Prime Rate Trust
2261,PPT,Putnam Premier Income Trust
2262,PPX,PPL Capital Funding Inc
2263,PQG,Pq Group Holdings Inc
2264,PRA,Pro-Assurance Corp
2265,PRE-F,Partnerre Ltd [Pre/Pf]
2266,PRE-G,Partnerre Ltd [Pre/Pg]
2267,PRE-H,Partnerre Ltd [Pre/Ph]
2268,PRE-I,Partnerre Ltd [Pre/Pi]
2269,PRGO,Perrigo Company
2270,PRH,Prudential Financial Inc
2271,PRI,Primerica Inc
2272,PRI-A,Priority Income Fund Inc [Prif/Pa]
2273,PRI-B,Priority Income Fund Inc [Prif/Pb]
2274,PRI-C,Priority Income Fund Inc [Prif/Pc]
2275,PRI-D,Priority Income Fund Inc [Prif/Pd]
2276,PRI-E,Priority Income Fund Inc 6.375% Prf Redeem 31/12
2277,PRI-F,Priority Income Fund Inc 6.625% Prf Redeem 30/06
2278,PRLB,Proto Labs Inc
2279,PRMW,Primo Water Corp.
2280,PRO,Pros Holdings
2281,PROS,Prosight Global Inc
2282,PRS,Prudential Financial Inc 5.625% Junior
2283,PRSP,Perspecta Inc
2284,PRT,Permrock Royalty Trust Trust Units
2285,PRTY,Party City Holdco Inc
2286,PRU,Prudential Financial Inc
2287,PSA,Public Storage
2288,PSA-B,Public Storage [Psa/Pb]
2289,PSA-C,Public Storage [Psa/Pc]
2290,PSA-D,Public Storage [Psa/Pd]
2291,PSA-E,Public Storage [Psa/Pe]
2292,PSA-F,Public Storage [Psa/Pf]
2293,PSA-G,Public Storage [Psa/Pg]
2294,PSA-H,Public Storage [Psa/Ph]
2295,PSA-I,Public Storage [Psa/Pi]
2296,PSA-J,Public Storage 4.70% Prf Perpetual USD 25 Ser J
2297,PSA-K,Public Storage 4.75% Prf Perpetual USD 25 Dp RP
2298,PSA-V,Public Storage [Psa/Pv]
2299,PSA-W,Public Storage [Psa/Pw]
2300,PSA-X,Public Storage [Psa/Px]
2301,PSB,Business Parks
2302,PSB-W,PS Business Pks Inc Calif [Psb/Pw]
2303,PSB-X,PS Business Pks Inc Calif [Psb/Px]
2304,PSB-Y,PS Business Pks Inc Calif [Psb/Py]
2305,PSB-Z,PS Business Parks Inc Prf Perpetual USD 25 Dp Sh
2306,PSF,Cohen & Steers Preferred Fund
2307,PSN,Parsons Corp
2308,PSO,Pearson Plc
2309,PSTG,Pure Storage Inc
2310,PSTL,Postal Realty Trust Cl A
2311,PSV,Hermitage Offshore Services Ltd
2312,PSX,Phillips 66
2313,PSXP,Phillips 66 Partners LP
2314,PTR,Petrochina Company Ltd
2315,PTY,Pimco Corporate Opportunity Fund
2316,PUK,Prudential Public Ltd Company
2317,PUK-A,Prudential [Puk/Pa]
2318,PUK.P,Prudential [Puk/P]
2319,PUMP,Propetro Holding Corp
2320,PVG,Pretium Res Inc
2321,PVH,Phillips-Van Heusen Corp
2322,PVL,Permianville Royalty Trust
2323,PWR,Quanta Services
2324,PXD,Pioneer Natural Resources Company
2325,PYN,Pimco New York Muni Income Fund III
2326,PYS,Pplus Trust
2327,PYT,Pplus Trust
2328,PYX,Pyxus International Inc
2329,PZC,Pimco California Muni Income Fund III
2330,PZN,Pzena Investment Management Inc
2331,QD,Qudian Inc ADR
2332,QEP,Qep Resources
2333,QES,Quintana Energy Services Inc
2334,QGEN,Qiagen N.V.
2335,QHC,Quorum Health Corp
2336,QSR,Restaurant Brands International
2337,QTS,Qts Realty Trust Inc
2338,QTS-A,Qts Rlty TR Inc [Qts/Pa]
2339,QTS-B,Qts Rlty TR Inc [Qts/Pb]
2340,QTWO,Q2 Holdings Inc
2341,QUAD,Quad Graphics Inc
2342,QUOT,Quotient Technology Inc
2343,QVCC,Qvc Inc 6.250% Senior Secured Notes Due 2068
2344,QVCD,Qvc Inc 6.375% Senior Secured Notes Due 2067
2345,R,Ryder System
2346,RA,Brookfield Real Assets Income Fund Inc
2347,RACE,Ferrari N.V.
2348,RAD,Rite Aid Corp
2349,RAMP,Liveramp Holdings Inc
2350,RBA,Ritchie Bros. Auctioneers Inc
2351,RBC,Regal-Beloit Corp
2352,RBS,Royal Bank Scotland Group Plc
2353,RC,Ready Capital Corp
2354,RCA,Ready Capital Corp 7.00%
2355,RCB,Ready Capital Corp 6.20% Senior Notes Due
2356,RCI,Rogers Communication
2357,RCL,Royal Caribbean Cruises Ltd
2358,RCP,Ready Capital Corp 6.50% Series
2359,RCS,Rcm Strategic Global Government Fund
2360,RCUS,Arcus Biosciences Inc
2361,RDN,Radian Group Inc
2362,RDS.A,Royal Dutch Shell ADR Cl A
2363,RDS.B,Royal Dutch Shell Cl B
2364,RDY,Dr. Reddy's Laboratories Ltd
2365,RE,Everest Re Group
2366,RELX,Relx Plc
2367,RENN,Renren Inc
2368,RES,RPC Inc
2369,RESI,Altisource Residential Corp
2370,REV,Revlon Inc
2371,REVG,Rev Group Inc
2372,REX,Rex American Resources Corp
2373,REX-A,Rexford Indl Rlty Inc [Rexr/Pa]
2374,REX-B,Rexford Indl Rlty Inc [Rexr/Pb]
2375,REX-C,Rexford Industrial Realty Inc 5.625% Prf Perpetu
2376,REXR,Rexford Industrial Realty Inc
2377,REZI,Resideo Technologies Inc
2378,RF,Regions Financial Corp
2379,RF-A,Regions Financial Corp [Rf/Pa]
2380,RF-B,Regions Financial Corp [Rf/Pb]
2381,RF-C,Regions Financial Corp [Rf/Pc]
2382,RFI,Cohen & Steers Total Return Realty Fund
2383,RFL,Rafael Holdings Inc
2384,RFP,Resolute Forest Products Inc
2385,RGA,Reinsurance Group of America Inc
2386,RGR,Sturm Ruger & Company
2387,RGS,Regis Corp
2388,RGT,Royce Global Value Trust Inc
2389,RH,Restoration Hardware Holdings
2390,RHI,Robert Half International Inc
2391,RHP,Ryman Hospitality Properties REIT
2392,RIG,Transocean Inc
2393,RIO,Rio Tinto Plc
2394,RIV,Rivernorth Opportunities Fund
2395,RJF,Raymond James Financial
2396,RL,Ralph Lauren Corp
2397,RLGY,Realogy Holdings Corp
2398,RLH,Red Lion Hotels Corp
2399,RLI,Rli Corp
2400,RLJ,Rlj Lodging Trust
2401,RLJ-A,Rlj Lodging TR [Rlj/Pa]
2402,RM,Regional Managment Corp
2403,RMAX,Re/Max Holdings Inc
2404,RMD,Resmed Inc
2405,RMED,Ra Medical Systems Inc
2406,RMG,Rmg Acquisition Corp Cl A
2407,RMG.U,Rmg Acquisition Corp
2408,RMG.W,Rmg Acquisition Corp WT [Rmg/W]
2409,RMI,Rivernorth Opportunistic Municipal Income Fund
2410,RMM,Rivernorth Managed Duration Municipal Income Fun
2411,RMP.P,Rivernorth Marketplace Lending Corp [Rmpl/P]
2412,RMT,Royce Micro-Cap Trust
2413,RNG,Ringcentral Inc
2414,RNGR,Ranger Energy Services Inc Cl A
2415,RNP,Cohen & Steers REIT and Preferred
2416,RNR,Renaissancere Holdings Ltd
2417,RNR-C,Renaissancere Holdings Ltd [Rnr/Pc]
2418,RNR-E,Renaissancere Holdings Ltd [Rnr/Pe]
2419,RNR-F,Renaissancere Holdings Ltd [Rnr/Pf]
2420,ROG,Rogers Corp
2421,ROK,Rockwell Automation Inc
2422,ROL,Rollins Inc
2423,ROP,Roper Industries
2424,ROYT,Pacific Coast Oil Trust
2425,RPAI,Retail Properties of America
2426,RPL.U,Replay Acquisition Corp [Rpla.U]
2427,RPL.W,Replay Acquisition Corp WT [Rpla/W]
2428,RPLA,Replay Acquisition Corp
2429,RPM,RPM International Inc
2430,RPT,Ramco-Gershenson Properties Trust
2431,RPT-D,Rpt Realty [Rpt/Pd]
2432,RQI,Cohen & Steers Quality Income Realty Fund Inc
2433,RRC,Range Resources Corp
2434,RRD,Donnelley [R.R.] & Sons Company
2435,RRTS,Roadrunner Transportation Systems Inc
2436,RS,Reliance Steel & Aluminum Company
2437,RSF,Rivernorth Marketplace Lending Corp
2438,RSG,Republic Services
2439,RST,Rosetta Stone
2440,RTN,Raytheon Company
2441,RTW,Rtw Retailwinds Inc
2442,RUBI,The Rubicon Project Inc
2443,RVI,Retail Value Inc
2444,RVLV,Revolve Group Inc
2445,RVT,Royce Value Trust
2446,RWT,Redwood Trust
2447,RXN,Rexnord Corp
2448,RY,Royal Bank of Canada
2449,RY-T,Royal Bank of Canada [Ry/Pt]
2450,RYAM,Rayonier Advanced Materials Inc
2451,RYB,Ryb Education Inc Aps
2452,RYCE,Amira Nature Foods Ltd
2453,RYI,Ryerson Holding Corp
2454,RYN,Rayonier Inc REIT
2455,RZA,Reinsurance Group of America
2456,RZB,Reinsurance Group of America
2457,S,Sprint Corp
2458,SA,Seabridge Gold
2459,SAF,Saratoga Investment Corp
2460,SAFE,Safehold Inc
2461,SAH,Sonic Automotive
2462,SAIC,Science Applications International
2463,SAIL,Sailpoint Technologies Holdings Inc
2464,SALT,Scorpio Bulkers Inc
2465,SAM,Boston Beer Company
2466,SAN,Banco Santander
2467,SAN-B,Banco Santander Sa [San/Pb]
2468,SAND,Sandstorm Gold Ltd
2469,SAP,SAP Ag
2470,SAR,Saratoga Investment Corp
2471,SAVE,Spirit Airlines Inc
2472,SB,Safe Bulkers Inc
2473,SB-C,Safe Bulkers Inc [Sb/Pc]
2474,SB-D,Safe Bulkers Inc [Sb/Pd]
2475,SBE,Switchback Energy Acquisition Corp Cl A
2476,SBE.U,Switchback Energy Acquisition Corp
2477,SBE.W,Switchback Energy Acquisition Corp WT
2478,SBH,Sally Beauty Holdings
2479,SBI,Western Asset Intermediate Fund Inc
2480,SBNA,Scorpio Tankers Inc
2481,SBOW,Silverbow Resources Inc
2482,SBR,Sabine Royalty Trust
2483,SBS,Cia DE Saneamento Basico Do Estado
2484,SBSW,Sibanye Gold Ltd ADR
2485,SC,Santander Consumer USA Holdings
2486,SCA,Stellus Capital Investment 5.75% Notes Due 2022
2487,SCCO,Southern Peru Copper Corp
2488,SCD,Lmp Capital and Income Fund Inc
2489,SCE-G,Sce Trust II [Sce/Pg]
2490,SCE-H,Sce TR III [Sce/Ph]
2491,SCE-J,Sce TR IV [Sce/Pj]
2492,SCE-K,Sce Trust V [Sce/Pk]
2493,SCE-L,Sce Trust Vi [Sce/Pl]
2494,SCH-C,Charles Schwab Corp [Schw/Pc]
2495,SCH-D,Charles Schwab Corp [Schw/Pd]
2496,SCHW,The Charles Schwab Corp
2497,SCI,Service Corp International
2498,SCL,Stepan Company
2499,SCM,Stellus Capital Investment Cor
2500,SCP.U,SC Health Corp [Scpe.U]
2501,SCP.W,SC Health Corp WT [Scpe/W]
2502,SCPE,SC Health Corp Cl A
2503,SCS,Steelcase Inc
2504,SCU,Sculptor Capital Management Inc
2505,SCV.U,Scvx Corp [Scvx.U]
2506,SCVX,Scvx Corp Cl A
2507,SCX,L.S. Starrett Company
2508,SD,Sandridge Energy Inc
2509,SDRL,Seadrill Ltd
2510,SE,Sea Ltd ADR
2511,SEAS,Seaworld Entertainment Inc Company
2512,SEE,Sealed Air Corp
2513,SEM,Select Medical Holdings Corp
2514,SERV,Servicemaster Global Holdings
2515,SF,Stifel Financial Corp
2516,SF-A,Stifel Financial Corp [Sf/Pa]
2517,SF-B,Stifel Financial Corp [Sf/Pb]
2518,SFB,Stifel Financial Corp 5.20% Senior Notes
2519,SFE,Safeguard Scientifics
2520,SFL,Ship Finance International
2521,SFT.U,Osprey Technology Acquisition Corp [Sftw.U]
2522,SFT.W,Osprey Technlgy Aquistion Corp [Sftw/W]
2523,SFTW,Osprey Technology Acquisition Corp Cl A
2524,SFUN,Soufun Holdings
2525,SGU,Star Gas Partners LP
2526,SHAK,Shake Shack Inc
2527,SHG,Shinhan Financial Group Co. Ltd
2528,SHI,Sinopec Shangai Petrochemical Company Ltd
2529,SHL.U,Tortoise Acquisition Corp [Shll.U]
2530,SHL.W,Tortoise Acquisition Corp WT [Shll/W]
2531,SHLL,Tortoise Acquisition Corp Cl A
2532,SHLX,Shell Midstream Partners LP
2533,SHO,Sunstone Hotel Investors
2534,SHO-E,Sunstone Hotel Invs Inc [Sho/Pe]
2535,SHO-F,Sunstone Hotel Invs Inc [Sho/Pf]
2536,SHOP,Shopify Inc
2537,SHW,Sherwin-Williams Company
2538,SI,Silvergate Capital Corporation Cl A
2539,SID,Companhia Siderurgica Nacional
2540,SIG,Signet Jewelers Ltd
2541,SIT-A,Site Centers Corp Shs Pfd Cl A
2542,SIT-K,Site Centers Corp [Sitc/Pk]
2543,SITC,Site Centers Corp
2544,SITE,Siteone Landscape Supply
2545,SIX,Six Flags Entertainment Corp
2546,SJI,South Jersey Industries
2547,SJIJ,South Jersey Industries Inc 5.625% Junior Subor
2548,SJIU,South Jersey Industries Inc
2549,SJM,J.M. Smucker Company
2550,SJR,Shaw Communications Inc
2551,SJT,San Juan Basin Royalty Trust
2552,SJW,SJW Corp
2553,SKM,Sk Telecom Corp
2554,SKT,Tanger Factory Outlet Centers
2555,SKX,Skechers U.S.A.
2556,SKY,Skyline Corp
2557,SLB,Schlumberger N.V.
2558,SLCA,U.S. Silica Holdings Inc
2559,SLF,Sun Life Financial Inc
2560,SLG,SL Green Realty Corp
2561,SLG-I,SL Green Rlty Corp [Slg/Pi]
2562,SM,Sm Energy Company
2563,SMAR,Smartsheet Inc Cl A
2564,SMFG,Sumitomo Mitsui Financial Group Inc
2565,SMG,Scotts Miracle-Gro Company
2566,SMHI,Seacor Marine Holdings Inc
2567,SMLP,Summit Midstream Partners LP
2568,SMM,Salient Midstream & MLP Fund
2569,SMP,Standard Motor Products
2570,SNA,Snap-On Inc
2571,SNAP,Snap Inc
2572,SNDR,Schneider National Inc
2573,SNE,Sony Corp
2574,SNN,Smith & Nephew Snats
2575,SNP,China Petroleum & Chemical Corp
2576,SNR,New Senior Investment Group Inc
2577,SNV,Synovus Financial Corp
2578,SNV-D,Synovus Financial Corp [Snv/Pd]
2579,SNV-E,Synovus Finl Corp [Snv/Pe]
2580,SNX,Synnex Corp
2581,SO,Southern Company
2582,SOGO,Sogou Inc
2583,SOI,Solaris Oilfield Infrastructure Inc Cl A
2584,SOJA,The Southern Co. Series
2585,SOJB,Southern Company
2586,SOJC,Southern Company Series 2017B 5.25% Junior Subor
2587,SOJD,Southern Company Series 2020A 4.95% Junior Subor
2588,SOL,Renesola Ltd
2589,SOLN,Southern Company
2590,SON,Sonoco Products Company
2591,SOR,Source Capital
2592,SPA.U,Spartan Energy Acquisiton Corp [Spaq.U]
2593,SPA.W,Spartan Energy Acquisiton Corp WT [Spaq/W]
2594,SPAQ,Spartan Energy Acquisition Corp Cl A
2595,SPB,Spectrum Brands Holdings Inc
2596,SPC.U,Virgin Galactic Hlds Inc [Spce.U]
2597,SPC.W,Virgin Galactic Hlds Inc [Spce/W]
2598,SPCE,Virgin Galactic Holdings Inc
2599,SPE,Special Opportunities Fund Inc
2600,SPE-B,Special Opportunities Fd Inc [Spe/Pb]
2601,SPG,Simon Property Group
2602,SPG-J,Simon Ppty Group Inc [Spg/Pj]
2603,SPGI,S&P Global Inc
2604,SPH,Suburban Propane Partners LP
2605,SPL-A,Steel Partners Holdings LP [Splp/Pa]
2606,SPLP,Steel Partners Hlds
2607,SPN,Superior Energy Services
2608,SPOT,Spotify Technology S.A.
2609,SPR,Spirit Aerosystems Holdings
2610,SPXC,SPX Corp
2611,SPXX,Nuveen Equity Premium and Growth Fund
2612,SQ,Square
2613,SQM,Sociedad Quimica Y Minera S.A.
2614,SQNS,Sequans Communications S A
2615,SR,Spire Inc
2616,SR-A,Spire Inc [Sr/Pa]
2617,SRC,Spirit Realty Capital Inc
2618,SRC-A,Spirit Rlty Cap Inc [Src/Pa]
2619,SRE,Sempra Energy
2620,SRE-A,Sempra Energy [Sre/Pa]
2621,SRE-B,Sempra Energy [Sre/Pb]
2622,SREA,Sempra Energy 5.750% Junior Subordinated Notes D
2623,SRF,The Cushing Royalty & Income Fund
2624,SRG,Seritage Growth Properties
2625,SRG-A,Seritage Growth Pptys [Srg/Pa]
2626,SRI,Stoneridge Inc
2627,SRL,Scully Royalty Ltd
2628,SRLP,Sprague Resources LP
2629,SRT,Startek Inc
2630,SRV,The Cushing MLP Total Return Fund
2631,SSD,Simpson Manufacturing Company
2632,SSI,Stage Stores
2633,SSL,Sasol Ltd
2634,SSTK,Shutterstock Inc
2635,SSWA,Seaspan Corp 7.125% Notes Due 2027
2636,ST,Sensata Technologies Holding N.V.
2637,STA-C,Stag Indl Inc [Stag/Pc]
2638,STA-D,Istar Inc [Star/Pd]
2639,STA-G,Istar Inc [Star/Pg]
2640,STA-I,Istar Inc [Star/Pi]
2641,STAG,STI Inc
2642,STAR,Istar Financial Inc
2643,STC,Stewart Information Services Corp
2644,STE,Steris Corp
2645,STG,Sunlands Online Education Group ADR
2646,STK,Columbia Seligman Premium Technology
2647,STL,Sterling Bancorp
2648,STL-A,Sterling Bancorp D [Stl/Pa]
2649,STM,Stmicroelectronics N.V.
2650,STN,Stantec Inc
2651,STNG,Scorpio Tankers Inc
2652,STON,Stonemor Partners LP
2653,STOR,Store Capital Corpstore Capital
2654,STT,State Street Corp
2655,STT-C,State Street Corp [Stt/Pc]
2656,STT-D,State Street Corp [Stt/Pd]
2657,STT-G,State Street Corp [Stt/Pg]
2658,STWD,Starwood Property Trust
2659,STZ,Constellation Brands Inc
2660,STZ.B,Constellation Brd Cl B
2661,SU,Suncor Energy Inc
2662,SUI,Sun Communities
2663,SUM,Summit Materials Inc
2664,SUN,Sunoco LP
2665,SUP,Superior Industries International
2666,SUPV,Grupo Supervielle S.A.
2667,SUZ,Suzano Papel E Celul
2668,SWCH,Switch Inc
2669,SWI,Solarwinds Corp
2670,SWK,Stanley Black & Decker Inc
2671,SWM,Schweitzer-Mauduit International
2672,SWN,Southwestern Energy Company
2673,SWP,Stanley Black & Decker Inc
2674,SWT,Stanley Black & Decker Inc
2675,SWX,Southwest Gas Corp
2676,SWZ,Swiss Helvetia Fund
2677,SXC,Suncoke Energy Inc
2678,SXI,Standex International Corp
2679,SXT,Sensient Technologies Corp
2680,SYF,Synchrony Financial
2681,SYF-A,Synchrony Financial 5.625% Prf Perpetual USD 25
2682,SYK,Stryker Corp
2683,SYX,Systemax Inc
